INFO:smsconfirmation.views: {'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_yxydtif+9UGSQoYxn/wCUQ', 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'errorCode': 40107} (2017-01-13 07:54:21; views.py:188)
INFO:smsconfirmation.models: Confirmation code is expired 17 (2017-01-13 08:15:34; models.py:67)
INFO:smsconfirmation.models: Confirmation code is expired 17 (2017-01-13 08:15:38; models.py:67)
INFO:smsconfirmation.models: Confirmation code is expired 17 (2017-01-13 08:15:38; models.py:67)
INFO:smsconfirmation.models: Confirmation code is expired 17 (2017-01-13 08:15:39; models.py:67)
INFO:smsconfirmation.models: Confirmation code is expired 17 (2017-01-13 08:15:39; models.py:67)
INFO:smsconfirmation.models: Confirmation code is expired 17 (2017-01-13 08:15:40; models.py:67)
INFO:smsconfirmation.models: Confirmation code is expired 17 (2017-01-13 08:15:40; models.py:67)
INFO:smsconfirmation.models: Confirmation code is expired 17 (2017-01-13 08:15:42; models.py:67)
INFO:smsconfirmation.models: Confirmation code is expired 17 (2017-01-13 08:15:43; models.py:67)
INFO:smsconfirmation.models: Confirmation code is expired 17 (2017-01-13 08:15:43; models.py:67)
INFO:smsconfirmation.models: Confirmation code is expired 17 (2017-01-13 08:15:43; models.py:67)
INFO:smsconfirmation.models: Confirmation code is expired 17 (2017-01-13 08:15:43; models.py:67)
INFO:smsconfirmation.models: Confirmation code is expired 17 (2017-01-13 08:15:44; models.py:67)
INFO:notifications.models: Create following notification 4 4 (2017-01-13 08:18:07; models.py:293)
INFO:notifications.models: Send push message: type=0, user=4, text=@admin started following you., payload={'userId': 4} (2017-01-13 08:18:07; models.py:203)
INFO:notifications.models: Send follow request push message for id = 4, follower = 4 (2017-01-13 08:18:56; models.py:39)
INFO:notifications.models: Send push message: type=0, user=4, text=@admin started following you., payload={'userId': 4} (2017-01-13 08:19:13; models.py:203)
INFO:smsconfirmation.views: {'errorCode': 40107, 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_S++U5JE67EG6zCZUrUj2kg'} (2017-01-13 08:23:16; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40107, 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_SDRoiTp9kk6Z2Ax4b5yXKQ'} (2017-01-13 08:23:50; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40107, 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_wS7mneiasUGQRzbzJ5tRAw'} (2017-01-13 08:24:01; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40107, 'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_up4NsibXT0KoRlJvi8GwbA'} (2017-01-13 08:54:20; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40003, 'reference': 'A:ac06a88f-f5c2-4a2e-bb72-635cf2c0ab51_+5/PoP5Gj0GOaHpEagV/1w', 'message': 'Invalid identity or code.'} (2017-01-13 08:58:07; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40003, 'reference': 'A:ac06a88f-f5c2-4a2e-bb72-635cf2c0ab51_nZoRFJufVUetMsmlC44UjQ', 'message': 'Invalid identity or code.'} (2017-01-13 08:58:11; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40003, 'reference': 'A:ac06a88f-f5c2-4a2e-bb72-635cf2c0ab51_ZqdyNhAir0e3cQqagjRbUg', 'message': 'Invalid identity or code.'} (2017-01-13 08:58:11; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40003, 'reference': 'A:ac06a88f-f5c2-4a2e-bb72-635cf2c0ab51_0WJG5GBxREiEApBY9msDug', 'message': 'Invalid identity or code.'} (2017-01-13 08:58:13; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40003, 'reference': 'A:ac06a88f-f5c2-4a2e-bb72-635cf2c0ab51_pSYlTKxS2kOUvLjw4q0IGg', 'message': 'Invalid identity or code.'} (2017-01-13 08:58:14; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40003, 'reference': 'A:ac06a88f-f5c2-4a2e-bb72-635cf2c0ab51_5GHFTnkBjU+o0McSW8wpGw', 'message': 'Invalid identity or code.'} (2017-01-13 08:58:30; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40003, 'reference': 'A:ac06a88f-f5c2-4a2e-bb72-635cf2c0ab51_F4w83o3Svk2ZcH9/y5TnBw', 'message': 'Invalid identity or code.'} (2017-01-13 09:00:31; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40003, 'reference': 'A:ac06a88f-f5c2-4a2e-bb72-635cf2c0ab51_6c/HI9JfI0mLKF9Jed9/GQ', 'message': 'Invalid identity or code.'} (2017-01-13 09:00:58; views.py:188)
INFO:notifications.models: Send push message: type=0, user=4, text=@admin started following you., payload={'userId': 4} (2017-01-13 09:03:43; models.py:203)
INFO:smsconfirmation.views: {'errorCode': 40003, 'reference': 'A:ac06a88f-f5c2-4a2e-bb72-635cf2c0ab51_Pe4273AIS0eJDEFWXJdC/A', 'message': 'Invalid identity or code.'} (2017-01-13 09:04:09; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40003, 'reference': 'A:ac06a88f-f5c2-4a2e-bb72-635cf2c0ab51_nt0jj245FUiKH7oBgt1+ZA', 'message': 'Invalid identity or code.'} (2017-01-13 09:04:23; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40003, 'reference': 'A:ac06a88f-f5c2-4a2e-bb72-635cf2c0ab51_HrnQcA25I02jIcKSCi6qLQ', 'message': 'Invalid identity or code.'} (2017-01-13 09:05:18; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40003, 'reference': 'A:ac06a88f-f5c2-4a2e-bb72-635cf2c0ab51_rjaVYCpXBkeRLab0X4nv3A', 'message': 'Invalid identity or code.'} (2017-01-13 09:06:16; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:9da10921-3481-4c01-9359-0a3891fd0d7d_uqGqJmf68kqRTRFwbqeG7w', 'errorCode': 40003, 'message': 'Invalid identity or code.'} (2017-01-13 09:08:25; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:9da10921-3481-4c01-9359-0a3891fd0d7d_p9lPqYCYh0SIA6iIsqltpg', 'errorCode': 40003, 'message': 'Invalid identity or code.'} (2017-01-13 09:12:51; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:9da10921-3481-4c01-9359-0a3891fd0d7d_CTxJ0/n/e0yywlmFoKp7gA', 'message': 'Invalid identity or code.', 'errorCode': 40003} (2017-01-13 09:22:44; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:9da10921-3481-4c01-9359-0a3891fd0d7d_y7rrlnnJw0KvfkLJaNDGfw', 'message': 'Invalid identity or code.', 'errorCode': 40003} (2017-01-13 09:23:00; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:9da10921-3481-4c01-9359-0a3891fd0d7d_iOfj7pGIIUyDlH+z8Dpdjg', 'message': 'Invalid identity or code.', 'errorCode': 40003} (2017-01-13 09:24:37; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:9da10921-3481-4c01-9359-0a3891fd0d7d_nr7XXBu6VkC8wpQUTXhtvA', 'message': 'Invalid identity or code.', 'errorCode': 40003} (2017-01-13 09:25:06; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:9da10921-3481-4c01-9359-0a3891fd0d7d_LpGn0UXwsEmzO0mgCQnc8Q', 'message': 'Invalid identity or code.', 'errorCode': 40003} (2017-01-13 09:25:52; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:9da10921-3481-4c01-9359-0a3891fd0d7d_JUgea0HsnEKvujecIWpOmw', 'message': 'Invalid identity or code.', 'errorCode': 40003} (2017-01-13 09:26:11; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:9da10921-3481-4c01-9359-0a3891fd0d7d_k5S5VAHlzEiSRHFkjZ0XcQ', 'message': 'Invalid identity or code.', 'errorCode': 40003} (2017-01-13 09:26:43; views.py:188)
INFO:smsconfirmation.views: {'reference': 'A:9da10921-3481-4c01-9359-0a3891fd0d7d_NV9IT7FREkqaidDay4GZDQ', 'message': 'Invalid identity or code.', 'errorCode': 40003} (2017-01-13 09:26:46; views.py:188)
INFO:smsconfirmation.views: {'message': 'Invalid authorization key: 155edefs-1s1d-4e14-864e-4e9451a21bd6', 'reference': 'A:155edefs-1s1d-4e14-864e-4e9451a21bd6_E7l2e9J2WkStEqATbTMliw', 'errorCode': 40107} (2017-01-13 09:27:31; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40003, 'message': 'Invalid identity or code.', 'reference': 'A:155edefb-991d-4e14-864e-4e9451a21bd6_XJRZVgjou0GwQGP4E+xA0Q'} (2017-01-13 09:54:10; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40003, 'message': 'Invalid identity or code.', 'reference': 'A:155edefb-991d-4e14-864e-4e9451a21bd6_eCpMhW2xpU2ttq60gdG3wQ'} (2017-01-13 09:55:57; views.py:188)
